date,time,phase,phaseid,datetime,timestamp,friendlydate,year,timezone
01/07/2023,12:08 AM,Full Moon,3,2023-01-07 00:08:00,1673046480,January 7, 2023,Europe/Berlin
01/15/2023,03:10 AM,Last Quarter,4,2023-01-15 03:10:00,1673748600,January 15, 2023,Europe/Berlin
01/21/2023,09:53 PM,New Moon,1,2023-01-21 21:53:00,1674334380,January 21, 2023,Europe/Berlin
01/28/2023,04:19 PM,First Quarter,2,2023-01-28 16:19:00,1674919140,January 28, 2023,Europe/Berlin
02/05/2023,07:28 PM,Full Moon,3,2023-02-05 19:28:00,1675621680,February 5, 2023,Europe/Berlin
02/13/2023,05:01 PM,Last Quarter,4,2023-02-13 17:01:00,1676304060,February 13, 2023,Europe/Berlin
02/20/2023,08:06 AM,New Moon,1,2023-02-20 08:06:00,1676876760,February 20, 2023,Europe/Berlin
02/27/2023,09:06 AM,First Quarter,2,2023-02-27 09:06:00,1677485160,February 27, 2023,Europe/Berlin
03/07/2023,01:40 PM,Full Moon,3,2023-03-07 13:40:00,1678192800,March 7, 2023,Europe/Berlin
03/15/2023,03:08 AM,Last Quarter,4,2023-03-15 03:08:00,1678846080,March 15, 2023,Europe/Berlin
03/21/2023,06:23 PM,New Moon,1,2023-03-21 18:23:00,1679419380,March 21, 2023,Europe/Berlin
03/29/2023,04:32 AM,First Quarter,2,2023-03-29 04:32:00,1680057120,March 29, 2023,Europe/Berlin
04/06/2023,06:34 AM,Full Moon,3,2023-04-06 06:34:00,1680755640,April 6, 2023,Europe/Berlin
04/13/2023,11:11 AM,Last Quarter,4,2023-04-13 11:11:00,1681377060,April 13, 2023,Europe/Berlin
04/20/2023,06:12 AM,New Moon,1,2023-04-20 06:12:00,1681963920,April 20, 2023,Europe/Berlin
04/27/2023,11:20 PM,First Quarter,2,2023-04-27 23:20:00,1682630400,April 27, 2023,Europe/Berlin
05/05/2023,07:34 PM,Full Moon,3,2023-05-05 19:34:00,1683308040,May 5, 2023,Europe/Berlin
05/12/2023,04:28 PM,Last Quarter,4,2023-05-12 16:28:00,1683901680,May 12, 2023,Europe/Berlin
05/19/2023,05:53 PM,New Moon,1,2023-05-19 17:53:00,1684511580,May 19, 2023,Europe/Berlin
05/27/2023,05:22 PM,First Quarter,2,2023-05-27 17:22:00,1685200920,May 27, 2023,Europe/Berlin
06/04/2023,05:42 AM,Full Moon,3,2023-06-04 05:42:00,1685850120,June 4, 2023,Europe/Berlin
06/10/2023,09:31 PM,Last Quarter,4,2023-06-10 21:31:00,1686425460,June 10, 2023,Europe/Berlin
06/18/2023,06:37 AM,New Moon,1,2023-06-18 06:37:00,1687063020,June 18, 2023,Europe/Berlin
06/26/2023,09:50 AM,First Quarter,2,2023-06-26 09:50:00,1687765800,June 26, 2023,Europe/Berlin
07/03/2023,01:39 PM,Full Moon,3,2023-07-03 13:39:00,1688384340,July 3, 2023,Europe/Berlin
07/10/2023,03:48 AM,Last Quarter,4,2023-07-10 03:48:00,1688953680,July 10, 2023,Europe/Berlin
07/17/2023,08:32 PM,New Moon,1,2023-07-17 20:32:00,1689618720,July 17, 2023,Europe/Berlin
07/26/2023,12:07 AM,First Quarter,2,2023-07-26 00:07:00,1690322820,July 26, 2023,Europe/Berlin
08/01/2023,08:32 PM,Full Moon,3,2023-08-01 20:32:00,1690914720,August 1, 2023,Europe/Berlin
08/08/2023,12:28 PM,Last Quarter,4,2023-08-08 12:28:00,1691490480,August 8, 2023,Europe/Berlin
08/16/2023,11:38 AM,New Moon,1,2023-08-16 11:38:00,1692178680,August 16, 2023,Europe/Berlin
08/24/2023,11:57 AM,First Quarter,2,2023-08-24 11:57:00,1692871020,August 24, 2023,Europe/Berlin
08/31/2023,03:35 AM,Full Moon,3,2023-08-31 03:35:00,1693445700,August 31, 2023,Europe/Berlin
09/07/2023,12:21 AM,Last Quarter,4,2023-09-07 00:21:00,1694038860,September 7, 2023,Europe/Berlin
09/15/2023,03:40 AM,New Moon,1,2023-09-15 03:40:00,1694742000,September 15, 2023,Europe/Berlin
09/22/2023,09:32 PM,First Quarter,2,2023-09-22 21:32:00,1695411120,September 22, 2023,Europe/Berlin
09/29/2023,11:57 AM,Full Moon,3,2023-09-29 11:57:00,1695981420,September 29, 2023,Europe/Berlin
10/06/2023,03:48 PM,Last Quarter,4,2023-10-06 15:48:00,1696600080,October 6, 2023,Europe/Berlin
10/14/2023,07:55 PM,New Moon,1,2023-10-14 19:55:00,1697306100,October 14, 2023,Europe/Berlin
10/22/2023,05:29 AM,First Quarter,2,2023-10-22 05:29:00,1697945340,October 22, 2023,Europe/Berlin
10/28/2023,10:24 PM,Full Moon,3,2023-10-28 22:24:00,1698524640,October 28, 2023,Europe/Berlin
11/05/2023,09:37 AM,Last Quarter,4,2023-11-05 09:37:00,1699173420,November 5, 2023,Europe/Berlin
11/13/2023,10:27 AM,New Moon,1,2023-11-13 10:27:00,1699867620,November 13, 2023,Europe/Berlin
11/20/2023,11:50 AM,First Quarter,2,2023-11-20 11:50:00,1700477400,November 20, 2023,Europe/Berlin
11/27/2023,10:16 AM,Full Moon,3,2023-11-27 10:16:00,1701076560,November 27, 2023,Europe/Berlin
12/05/2023,06:49 AM,Last Quarter,4,2023-12-05 06:49:00,1701755340,December 5, 2023,Europe/Berlin
12/13/2023,12:32 AM,New Moon,1,2023-12-13 00:32:00,1702423920,December 13, 2023,Europe/Berlin
12/19/2023,07:39 PM,First Quarter,2,2023-12-19 19:39:00,1703011140,December 19, 2023,Europe/Berlin
12/27/2023,01:33 AM,Full Moon,3,2023-12-27 01:33:00,1703637180,December 27, 2023,Europe/Berlin